Time,Latency
5,56.617
15,56.617
25,56.617
35,56.617
45,56.617
55,56.617
65,56.617
75,56.617
85,56.617
95,56.617
105,56.617
115,56.617
125,56.617
135,56.617
145,56.617
155,56.617
165,56.617
175,56.617
185,56.617
195,56.617
205,56.617
215,56.617
225,56.617
235,56.617
245,56.617
255,56.617
265,56.617
275,56.617
285,56.617
295,56.617
305,56.617
315,56.617
325,56.617
335,56.617
345,56.617
355,56.617
365,56.617
375,56.617
385,56.617
395,56.617
405,56.617
415,56.617
425,56.617
435,56.617
445,56.617
455,56.617
465,56.617
475,56.617
485,56.617
495,56.617
505,56.617
515,56.617
525,56.617
535,56.617
545,56.617
555,56.617
565,56.617
575,56.617
585,56.617
595,56.617
605,56.617
615,56.617
625,56.617
635,56.617
645,56.617
655,56.617
665,56.617
675,56.617
685,56.617
695,56.617
705,56.617
715,56.617
725,56.617
735,56.617
745,56.617
755,56.617
765,56.617
775,56.617
785,56.617
795,56.617
805,56.617
815,56.617
825,56.617
835,56.617
845,56.617
